NAAM,ALCOHOL %,BROUWERIJ
Caves,5.800000,Brouwerij Verhaeghe
Ceci n’est pasun Barley Wine,10.000000,Brouwerij Sainte-Hélène
Ceci n’est pasune saison,6.500000,t HofBrouwerijke
Ceci n’est pasune stout,6.500000,t HofBrouwerijke
Ceci n’est pasune triple,8.000000,t HofBrouwerijke
Celestus,5.000000,Brouwerij Haacht
Celis White,5.000000,Brouwerij Van Steenberge
Celtic Angel,6.200000,De ProefBrouwerij voor MicroBrouwerijAchilles
Cervesia,8.000000,Brouwerij Dupont
Cervoise del’Avouerie d’Anthisnes,5.000000,Brouwerij de Silly
Cesar,8.500000,Brouwerij Van Steenberge
Cezarken,5.500000,Brouwerij Strubbe voorBrouwerij Crombé
Chapeau Gueuze,5.500000,Brouwerij De Troch
Chapeau Abricot,3.500000,Brouwerij De Troch
Chapeau Banana,3.500000,Brouwerij De Troch
Chapeau CuvéeOude Gueuze,5.500000,Brouwerij De Troch
Chapeau Exotic(ananas),3.500000,Brouwerij De Troch
Chapeau Faro,4.750000,Brouwerij De Troch
Chapeau Fraises,3.500000,Brouwerij De Troch
Chapeau Framboise,3.500000,Brouwerij De Troch
Chapeau Kriek,3.500000,Brouwerij De Troch
Chapeau Lemon,3.500000,Brouwerij De Troch
Chapeau Mirabelle,3.500000,Brouwerij De Troch
Chapeau Pêche,3.500000,Brouwerij De Troch
Chapeau WinterGueuze,5.600000,Brouwerij De Troch
Charles Quint,6.300000,Haacht
Chimay Blauw,9.000000,Abdij Notre-Dame de Scourmont
Chimay Rood,7.000000,Abdij Notre-Dame de Scourmont
Chimay Wit,8.000000,Abdij Notre-Dame de Scourmont
Chimay dorée,4.800000,Abdij Notre-Dame de Scourmont
Chouffe Bok 6666,6.000000,Brouwerij d’Achouffe(Duvel-Moortgat)
Chouffe Soleil,6.000000,Brouwerij d’Achouffe
Christmas Leroy,7.500000,Brouwerij Van Eecke
ChristmasVerhaeghe,7.200000,Brouwerij Verhaeghe
Christmas PaleAle,6.300000,Brouwerij De Ryck
Ciney Blond,7.000000,Alken-Maes (Heineken)
Ciney Bruin,7.000000,Alken-Maes (Heineken)
Cluysenaer,7.000000,De ProefBrouwerij voor BrouwerijCluysenaer
Cnudde Bizon,5.500000,Brouwerij Cnudde
CnuddeOudenaards bruin (Kerkhofbier),5.000000,Brouwerij Cnudde
Colère Rouge,5.000000,Brouwerij Millevertus
Content,7.500000,Brouwerij De Graal voor DeVerhuisBrouwerij
Contrapils,5.000000,Brouwerij Contreras
Contreras’Especial Mars,6.500000,Brouwerij Contreras
Cookie Beer,8.000000,Brouwerij d’Ecaussinnes
Coq Hardi,5.500000,Brouwerij Haacht
Cornet,8.500000,Brouwerij Palm
Corsendonk Agnus,7.500000,Brouwerij du Bocq voorCorsendonk nv
Corsendonk Blond,6.500000,Brouwerij du Bocq voorCorsendonk nv
Corsendonk Bruin,6.500000,Brouwerij du Bocq voorCorsendonk nv
CorsendonkChristmas Ale,8.500000,Brouwerij du Bocq voorCorsendonk nv
Corsendonk Pater,7.500000,Brouwerij du Bocq voorCorsendonk nv
Corsendonk Rousse,8.000000,Brouwerij du Bocq voorCorsendonk nv
Corsendonk Summum Goudblond,8.000000,Brouwerij du Bocq voorCorsendonk nv
Corsendonk Summum Roodbruin,8.000000,Brouwerij du Bocq voorCorsendonk nv
CorsendonkTriple 11.11.11,7.500000,Brouwerij du Bocq voorCorsendonk nv
CouckelaerschenDoedel,6.500000,Brouwerij Strubbe
Courage,8.000000,Brouwerij De Dochter van deKorenaar
Coy’Heimsen,6.000000,Brouwerij Van Eecke
Crack Pils,5.000000,Brouwerij Het Sas
Crianza,7.000000,Brouwerij de la Senne
Cristal Alken,4.800000,Alken-Maes (Heineken)
Cristal 1928,5.800000,Alken-Maes (Heineken)
Cuvée Angélique,8.300000,Brouwerij De Glazen Toren
Cuvée de Bouillon,6.500000,Brouwerij de Bouillon
Cuvée deBriqville,7.000000,Brouwerij Van Steenberge
Cuvée de Francorchamps,8.000000,Brouwerij Lefebvre
Cuvée De Ranke,7.000000,Brouwerij De Ranke
Cuvée des Trolls,7.000000,Brouwerij Dubuisson
Cuvée des TrollsTriple,7.000000,Brouwerij Dubuisson
Cuvée Delphine,13.000000,De Struise Brouwers bij Brouwerij Deca
Cuvée d’Erpigny,15.000000,Brouwerij Alvinne
Cuvée du Château,11.000000,Brouwerij Van Honsebrouck
Cuvée du FloAmbrée,8.500000,Brouwerij du Flo
Cuvée du FloBlonde,8.000000,Brouwerij du Flo
Cuvée du FloBrune,9.000000,Brouwerij du Flo
Cuvée du FloFruit,6.500000,Brouwerij du Flo
Cuvée du Flo Miel,8.500000,Brouwerij du Flo
Cuvée du Tchesté,7.500000,Brouwerij Les 3 Fourquets inopdracht van de Confrérie du Tchesté de Neufchâteau
Cuvée Ermesinde,7.800000,Brouwerij Saint-Monon
Cuvée Freddy,10.000000,Brouwerij Alvinne
Cuvée Jeun’homme,6.500000,Brouwerij De Leite
Cuvée Jolie Môme,4.500000,Brouwerij du Flo
Cuvée René OudeGeuze,5.500000,Brouwerij Lindemans
Cuvée René OudeKriek,6.000000,Brouwerij Lindemans
Cuvée Li Crochon,8.700000,Brouwerij Du Bocq
Cuvée Mam’zelle,8.500000,Brouwerij De Leite
Cuvée Modeste,7.200000,Brouwerij De Koninck
CuvéeSaint-Antoine Blonde,7.500000,Brouwerij du Flo
CuvéeSaint-Antoine Brune,9.000000,Brouwerij du Flo
Cuvée Saint Gilloise,5.000000,Brouwerij Cantillon
Cuvée van de Keizer Blauw,11.000000,Brouwerij Het Anker
Cuvée van de Keizer Rood,10.000000,Brouwerij Het Anker
Dale,6.400000,De Proefbrouwerij
Darinckdelver,10.500000,Brouwerij Alvinne
Dark White BBB,4.500000,Brouwerij Fantôme
De BoomgaardFramboise,4.900000,Brouwerij d’Ecaussinnes
de Chokier,7.000000,De ProefBrouwerij
De EyckenBalthazar,9.000000,Brouwerij Alvinne
De Garre Tripel,11.500000,Staminee De Garre (Brouwerij VanSteenberge)
De Graal Blond,6.500000,Brouwerij De Graal
De Graal Dubbel,6.500000,Brouwerij De Graal
De Graal Gember,8.000000,Brouwerij De Graal
De Graal SloCK,6.500000,Brouwerij De Graal
De Graal Tripel,9.000000,Brouwerij De Graal
De Graal Quest,9.000000,Brouwerij De Graal
De GraalTriverius,6.800000,Brouwerij De Graal
De Kavijaks,7.000000,De Dolle Brouwers voor Kaffee Kavijaks
De Koninck,5.200000,Brouwerij De Koninck(Duvel-Moortgat)
De KoninckTriple d’Anvers,8.000000,Brouwerij De Koninck(Duvel-Moortgat)
De Koninck Winter,6.500000,Brouwerij De Koninck(Duvel-Moortgat)
De Maeght vanGottem,6.500000,HuisBrouwerij Sint-Canarus
De Nacht,5.200000,Brouwerij Vissenaken
De Poes,8.000000,Brouwerij De Poes
De RegenboogIJzer,6.000000,Brouwerij De Regenboog
De VerbodenVrucht,8.500000,Brouwerij De Kluis (InBev)
De Vlier X-Mas,8.500000,Brouwerij De Vlier
Deinze Export,4.600000,HuisBrouwerij Sint Canarus voor JCIDeinze en Leiestreek
Delhaize Christmas,9.000000,Affligem Brouwerij
Delhaize Tafelbier Blond,1.500000,Brouwerij Piedbœuf (InBev)
Delhaize Tafelbier Bruin,1.500000,Brouwerij Piedbœuf (InBev)
Delirium argentum 25,7.000000,Brouwerij Huyghe
Delirium Nocturnum,9.000000,Brouwerij Huyghe
Delirium Tremens,9.000000,Brouwerij Huyghe
DeliriumChristmas,10.000000,Brouwerij Huyghe
Delirium Red,8.500000,Brouwerij Huyghe
Delvaux,8.500000,Brouwerij De Kroon
Den Alternatief,5.000000,Brouwerij Het Alternatief
Den Bi3r,9.000000,Brouwerij Den Tseut
Den Drupneuze,8.500000,Brouwerij Den Tseut
Den Herberg Amber,5.000000,Brouwerij Den Herberg
Den Herberg Blond,5.500000,Brouwerij Den Herberg
Den Herberg Bruin,5.500000,Brouwerij Den Herberg
Den Herberg Tarwe,5.000000,Brouwerij Den Herberg
Den Mulder,8.000000,Brouwerij Den Tseut
Den Tits,6.200000,De Proefbrouwerij
Den Tseut,6.500000,Brouwerij Den Tseut
Den Twaalf,12.000000,Brouwerij ‘t Gaverhopke
Den Zytholoog,6.600000,Brouwerij De Graal voorbierfirma Vacas
Den Zwarte Sinjoor,6.700000,Brouwerij het Pakhuis
DendermondeTripel,8.000000,Brouwerij De Block
Dentergems Wit,5.000000,Brouwerij Het Anker
